,Año,Trimestre,Alquiler mensual en soles corrientes,Distrito,Superficie,Número de habitaciones,Número de baños,Número de garages,Años de antigüedad
112,2010,2,1562.6233333333332,La Molina,170.0,5.0,2.0,1.0,1.5
113,2010,2,1136.4533333333331,La Molina,120.0,3.0,2.0,0.0,10.0
114,2010,2,1050.4744968924413,Lince,94.0,3.0,2.5,1.0,11.0
115,2010,2,750.3389263517436,Lince,85.0,2.0,2.0,1.0,6.0
116,2010,2,1050.4744968924413,Lince,100.0,3.0,2.0,1.0,9.0
117,2010,2,1200.54228216279,Magdalena,103.0,3.0,2.0,1.0,10.0
118,2010,2,3601.62684648837,Magdalena,100.0,3.0,2.5,1.0,6.0
119,2010,2,2040.9218796767427,Magdalena,120.0,3.0,3.0,1.0,1.0
120,2010,2,2251.016779055231,Magdalena,110.0,3.0,2.5,1.0,3.0
121,2010,2,1200.54228216279,Magdalena,100.0,3.0,2.0,0.0,4.0
122,2010,2,1170.5287251087202,Magdalena,120.0,3.0,2.5,1.0,7.0
123,2010,2,1843.895533333333,Miraflores,45.0,1.0,1.0,1.0,7.0
124,2010,2,2841.133333333333,Miraflores,130.0,3.0,2.0,1.0,6.0
125,2010,2,4261.7,Miraflores,120.0,3.0,3.0,1.0,2.0
126,2010,2,3693.473333333333,Miraflores,100.0,2.0,2.0,1.0,2.0
127,2010,2,3693.473333333333,Miraflores,100.0,2.0,2.0,1.0,2.0
128,2010,2,3409.3599999999997,Miraflores,80.0,1.0,1.0,1.0,2.0
129,2010,2,3409.3599999999997,Miraflores,80.0,1.0,1.0,1.0,2.0
130,2010,2,3409.3599999999997,Miraflores,117.0,2.0,2.5,2.0,6.0
131,2010,2,2343.935,Miraflores,105.0,1.0,1.0,1.0,6.0
132,2010,2,2557.02,Miraflores,100.0,2.0,2.0,1.0,6.0
133,2010,2,7102.833333333333,Miraflores,240.0,3.0,2.5,2.0,4.0
134,2010,2,5540.209999999999,Miraflores,156.0,2.0,2.5,2.0,4.0
135,2010,2,5114.04,Miraflores,120.0,3.0,2.0,2.0,7.0
136,2010,2,2557.02,Miraflores,108.32,3.0,2.5,1.0,3.0
137,2010,2,4545.813333333333,Miraflores,151.93,3.0,2.5,2.0,1.0
138,2010,2,3977.586666666666,Miraflores,154.62,3.0,2.5,2.0,1.0
139,2010,2,3409.3599999999997,Miraflores,160.7,3.0,2.5,2.0,1.0
140,2010,2,2557.02,Miraflores,100.0,3.0,2.0,0.0,2.0
141,2010,2,500.2259509011625,Pueblo Libre,75.0,2.0,1.5,1.0,11.0
142,2010,2,3601.62684648837,Pueblo Libre,80.0,2.0,2.0,1.0,15.0
143,2010,2,350.15816563081376,Pueblo Libre,60.0,1.0,1.0,0.0,13.0
144,2010,2,400.1807607209299,Pueblo Libre,65.0,1.0,1.0,0.0,7.0
145,2010,2,2401.08456432558,Pueblo Libre,75.0,3.0,3.0,1.0,11.0
146,2010,2,2251.016779055231,Pueblo Libre,100.0,3.0,1.5,0.0,12.0
147,2010,2,800.3615214418598,Pueblo Libre,90.0,2.0,1.0,0.0,14.0
148,2010,2,500.2259509011625,Pueblo Libre,40.0,1.0,1.0,0.0,14.0
